,index,year,s&p_eps,s&p_closing_prices,real_gdp,average_10y_yield_%,average_annual_inflation
46,7618,2009.0,60.92,721.3599849999999,15208834.0,3.26,-0.4
47,7619,2009.0,60.92,750.73999,15208834.0,3.26,-0.4
48,7620,2009.0,60.92,756.549988,15208834.0,3.26,-0.4
49,7621,2009.0,60.92,753.8900150000001,15208834.0,3.26,-0.4
50,7622,2009.0,60.92,778.119995,15208834.0,3.26,-0.4
51,7623,2009.0,60.92,794.349976,15208834.0,3.26,-0.4
52,7624,2009.0,60.92,784.039978,15208834.0,3.26,-0.4
53,7625,2009.0,60.92,768.539978,15208834.0,3.26,-0.4
54,7626,2009.0,60.92,822.919983,15208834.0,3.26,-0.4
55,7627,2009.0,60.92,806.119995,15208834.0,3.26,-0.4
56,7628,2009.0,60.92,813.880005,15208834.0,3.26,-0.4
57,7629,2009.0,60.92,832.8599849999999,15208834.0,3.26,-0.4
58,7630,2009.0,60.92,815.9400019999999,15208834.0,3.26,-0.4
59,7631,2009.0,60.92,787.530029,15208834.0,3.26,-0.4
60,7632,2009.0,60.92,797.869995,15208834.0,3.26,-0.4
61,7633,2009.0,60.92,811.080017,15208834.0,3.26,-0.4
62,7634,2009.0,60.92,834.380005,15208834.0,3.26,-0.4
63,7635,2009.0,60.92,842.5,15208834.0,3.26,-0.4
64,7636,2009.0,60.92,835.47998,15208834.0,3.26,-0.4
65,7637,2009.0,60.92,815.549988,15208834.0,3.26,-0.4
66,7638,2009.0,60.92,825.159973,15208834.0,3.26,-0.4
67,7639,2009.0,60.92,856.5599980000001,15208834.0,3.26,-0.4
68,7640,2009.0,60.92,858.7299800000001,15208834.0,3.26,-0.4
69,7641,2009.0,60.92,841.5,15208834.0,3.26,-0.4
70,7642,2009.0,60.92,852.0599980000001,15208834.0,3.26,-0.4
71,7643,2009.0,60.92,865.2999880000001,15208834.0,3.26,-0.4
72,7644,2009.0,60.92,869.599976,15208834.0,3.26,-0.4
73,7645,2009.0,60.92,832.3900150000001,15208834.0,3.26,-0.4
74,7646,2009.0,60.92,850.080017,15208834.0,3.26,-0.4
75,7647,2009.0,60.92,843.5499880000001,15208834.0,3.26,-0.4
76,7648,2009.0,60.92,851.919983,15208834.0,3.26,-0.4
77,7649,2009.0,60.92,866.2299800000001,15208834.0,3.26,-0.4
78,7650,2009.0,60.92,857.51001,15208834.0,3.26,-0.4
79,7651,2009.0,60.92,855.159973,15208834.0,3.26,-0.4
80,7652,2009.0,60.92,873.6400150000001,15208834.0,3.26,-0.4
81,7653,2009.0,60.92,872.8099980000001,15208834.0,3.26,-0.4
82,7654,2009.0,60.92,877.5200199999999,15208834.0,3.26,-0.4
83,7655,2009.0,60.92,907.23999,15208834.0,3.26,-0.4
84,7656,2009.0,60.92,903.7999880000001,15208834.0,3.26,-0.4
85,7657,2009.0,60.92,919.5300289999999,15208834.0,3.26,-0.4
86,7658,2009.0,60.92,907.3900150000001,15208834.0,3.26,-0.4
87,7659,2009.0,60.92,929.2299800000001,15208834.0,3.26,-0.4
88,7660,2009.0,60.92,909.23999,15208834.0,3.26,-0.4
89,7661,2009.0,60.92,908.349976,15208834.0,3.26,-0.4
90,7662,2009.0,60.92,883.919983,15208834.0,3.26,-0.4
91,7663,2009.0,60.92,893.070007,15208834.0,3.26,-0.4
92,7664,2009.0,60.92,882.8800050000001,15208834.0,3.26,-0.4
93,7665,2009.0,60.92,909.7100220000001,15208834.0,3.26,-0.4
94,7666,2009.0,60.92,908.1300050000001,15208834.0,3.26,-0.4
95,7667,2009.0,60.92,903.4699710000001,15208834.0,3.26,-0.4
96,7668,2009.0,60.92,888.330017,15208834.0,3.26,-0.4
97,7669,2009.0,60.92,887.0,15208834.0,3.26,-0.4
98,7670,2009.0,60.92,910.330017,15208834.0,3.26,-0.4
99,7671,2009.0,60.92,893.0599980000001,15208834.0,3.26,-0.4
100,7672,2009.0,60.92,906.830017,15208834.0,3.26,-0.4
101,7673,2009.0,60.92,919.1400150000001,15208834.0,3.26,-0.4
102,7674,2009.0,60.92,942.8699949999999,15208834.0,3.26,-0.4
103,7675,2009.0,60.92,944.73999,15208834.0,3.26,-0.4
104,7676,2009.0,60.92,931.76001,15208834.0,3.26,-0.4
105,7677,2009.0,60.92,942.4600220000001,15208834.0,3.26,-0.4
106,7678,2009.0,60.92,940.090027,15208834.0,3.26,-0.4
107,7679,2009.0,60.92,939.1400150000001,15208834.0,3.26,-0.4
108,7680,2009.0,60.92,942.429993,15208834.0,3.26,-0.4
109,7681,2009.0,60.92,939.150024,15208834.0,3.26,-0.4
110,7682,2009.0,60.92,944.8900150000001,15208834.0,3.26,-0.4
111,7683,2009.0,60.92,946.2100220000001,15208834.0,3.26,-0.4
112,7684,2009.0,60.92,923.7199710000001,15208834.0,3.26,-0.4
113,7685,2009.0,60.92,911.9699710000001,15208834.0,3.26,-0.4
114,7686,2009.0,60.92,910.7100220000001,15208834.0,3.26,-0.4
115,7687,2009.0,60.92,918.3699949999999,15208834.0,3.26,-0.4
116,7688,2009.0,60.92,921.2299800000001,15208834.0,3.26,-0.4
117,7689,2009.0,60.92,893.0399779999999,15208834.0,3.26,-0.4
118,7690,2009.0,60.92,895.099976,15208834.0,3.26,-0.4
119,7691,2009.0,60.92,900.9400019999999,15208834.0,3.26,-0.4
120,7692,2009.0,60.92,920.26001,15208834.0,3.26,-0.4
121,7693,2009.0,60.92,918.900024,15208834.0,3.26,-0.4
122,7694,2009.0,60.92,927.2299800000001,15208834.0,3.26,-0.4
123,7695,2009.0,60.92,919.320007,15208834.0,3.26,-0.4
124,7696,2009.0,60.92,923.330017,15208834.0,3.26,-0.4
125,7697,2009.0,60.92,896.419983,15208834.0,3.26,-0.4
126,7698,2009.0,60.92,898.7199710000001,15208834.0,3.26,-0.4
127,7699,2009.0,60.92,881.0300289999999,15208834.0,3.26,-0.4
128,7700,2009.0,60.92,879.5599980000001,15208834.0,3.26,-0.4
129,7701,2009.0,60.92,882.679993,15208834.0,3.26,-0.4
130,7702,2009.0,60.92,879.1300050000001,15208834.0,3.26,-0.4
131,7703,2009.0,60.92,901.0499880000001,15208834.0,3.26,-0.4
132,7704,2009.0,60.92,905.840027,15208834.0,3.26,-0.4
133,7705,2009.0,60.92,932.679993,15208834.0,3.26,-0.4
134,7706,2009.0,60.92,940.73999,15208834.0,3.26,-0.4
135,7707,2009.0,60.92,940.3800050000001,15208834.0,3.26,-0.4
136,7708,2009.0,60.92,951.1300050000001,15208834.0,3.26,-0.4
137,7709,2009.0,60.92,954.580017,15208834.0,3.26,-0.4
138,7710,2009.0,60.92,954.070007,15208834.0,3.26,-0.4
139,7711,2009.0,60.92,976.2899779999999,15208834.0,3.26,-0.4
140,7712,2009.0,60.92,979.26001,15208834.0,3.26,-0.4
141,7713,2009.0,60.92,982.179993,15208834.0,3.26,-0.4
142,7714,2009.0,60.92,979.6199949999999,15208834.0,3.26,-0.4
143,7715,2009.0,60.92,975.150024,15208834.0,3.26,-0.4
144,7716,2009.0,60.92,986.75,15208834.0,3.26,-0.4
145,7717,2009.0,60.92,987.4799800000001,15208834.0,3.26,-0.4
